Voc,Jsc,FF,PCE,Cs,MA,FA,Pb,Sn,I,Br,BG,CBO,VBO,arch_nip,arch_pin,h_mobility,e_mobility,CBM,VBM,ETL_CBM,HTL_VBM,Reference
1.1,23.34,0.74,19.01,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.15,0.52,1,0,0.000465,2.93E-05,-4.05,-5.65,-4.2,-5.13,10.1021/acsami.9b11229
1.11,23.55,0.77,20.13,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.15,0.46,1,0,0.000668,2.93E-05,-4.05,-5.65,-4.2,-5.19,10.1021/acsami.9b11229
1.07,22.52,0.72,17.35,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.15,0.54,1,0,8.13E-05,2.93E-05,-4.05,-5.65,-4.2,-5.11,10.1021/acsami.9b11229
1.06,14.7,0.757,11.9,1,0,0,1,0,2,1,1.92,-0.05,0.86,1,0,0.000465,0.000992,-4.16,-6.08,-4.21,-5.22,10.1002/adma.201802509
1.08,23.7,0.803,20.5,0,0.15,0.85,1,0,2.55,0.45,1.6,-0.08,0.51,1,0,0.0012,2.93E-05,-3.92,-5.65,-4,-5.14,10.1039/C7EE01931A
1.14,23,0.811,21.3,0,0,1,1,0,3,0,1.48,-0.28,0.18,1,0,0.000465,2.93E-05,-3.92,-5.4,-4.2,-5.22,10.1038/s41560-022-01086-7
1.16,24.7,0.824,23.4,0,0,1,1,0,3,0,1.48,-0.48,0.18,1,0,0.000465,0.000992,-3.92,-5.4,-4.4,-5.22,10.1038/s41560-022-01086-7
1.175,14.5,0.61,10.4,0.17,0,0.83,1,0,1.2,1.8,1.93,-0.73,0.39,1,0,0.000465,0.000992,-3.67,-5.61,-4.4,-5.22,10.1002/adfm.201803130
1.175,15.8,0.646,12,0.17,0,0.83,1,0,1.5,1.5,1.86,-0.67,0.37,1,0,0.000465,0.000992,-3.73,-5.59,-4.4,-5.22,10.1002/adfm.201803130
1.15,17.3,0.643,12.8,0.17,0,0.83,1,0,1.8,1.2,1.79,-0.52,0.38,1,0,0.000465,0.000992,-3.88,-5.6,-4.4,-5.22,10.1002/adfm.201803130
1.16,19.1,0.673,14.9,0.17,0,0.83,1,0,2.2,0.8,1.72,-0.5,0.4,1,0,0.000465,0.000992,-3.9,-5.62,-4.4,-5.22,10.1002/adfm.201803130
1.036,21.93,0.7029,15.97,0,1,0,1,0,3,0,1.64,-0.18,0.36,0,1,0.000234,0.0004,-3.83,-5.47,-4.01,-5.11,10.1016/j.jpowsour.2020.228505
1.12,20.62,0.72,16.63,0,1,0,1,0,3,0,1.5,-0.4,0.2,1,0,0.000465,2.93E-05,-3.9,-5.4,-4.3,-5.2,10.1021/acsami.9b17580
1.05,23.86,0.74,18.72,0.05,0.14,0.81,1,0,2.55,0.45,1.6,-0.1,0.58,1,0,0.00047,2.93E-05,-4.2,-5.8,-4.3,-5.22,10.1021/acsaem.9b00477
1.04,23.85,0.68,16.19,0.05,0.14,0.81,1,0,2.55,0.45,1.6,-0.1,0.2,1,0,0.00029,2.93E-05,-4.2,-5.8,-4.3,-5.6,10.1021/acsaem.9b00477
1.16,22.4,0.78,20.5,0.05,0.1425,0.8075,1,0,2.55,0.45,1.6,0,0.6,1,0,0.000465,0.000992,-4.2,-5.8,-4.2,-5.2,10.1002/aenm.201900834
1.08,22.21,0.7615,18.32,0,1,0,1,0,3,0,1.5,-0.5,0.18,1,0,0.000465,0.000299,-3.83,-5.4,-4.33,-5.22,10.1002/adfm.201900557
1.08,22.41,0.7874,19.03,0,1,0,1,0,3,0,1.5,-0.49,0.18,1,0,0.000465,0.000602,-3.83,-5.4,-4.32,-5.22,10.1002/adfm.201900557
1.08,21.75,0.6628,14.18,0,1,0,1,0,3,0,1.5,-0.65,0.18,1,0,0.000465,9.45E-05,-3.83,-5.4,-4.48,-5.22,10.1002/adfm.201900557
1,22.96,0.7,16.07,0,1,0,1,0,3,0,1.5,-0.27,0.21,1,0,9.05E-05,2.93E-05,-3.93,-5.43,-4.2,-5.22,10.1002/solr.201800048
1.06,22.42,0.75,17.82,0,1,0,1,0,3,0,1.5,-0.3,0.18,1,0,0.00135,2.93E-05,-3.9,-5.4,-4.2,-5.22,10.1002/solr.201800048
1.08,22.79,0.75,18.46,0,1,0,1,0,3,0,1.5,-0.3,0.24,1,0,0.00573,2.93E-05,-3.9,-5.4,-4.2,-5.16,10.1002/solr.201800048
1.07,8.83,0.545,5.16,1,0,0,1,0,1,2,2.07,-0.47,0.87,1,0,0.000191,0.000992,-3.93,-6,-4.4,-5.13,10.1016/j.nanoen.2019.02.049
1.079,22.78,0.7148,16.3,0,1,0,1,0,3,0,1.5,-0.3,0.2,1,0,0.000465,2.93E-05,-3.9,-5.4,-4.2,-5.2,10.1021/acsami.9b03304
1.069,22.73,0.7212,16.64,0,1,0,1,0,3,0,1.5,-0.1,0.2,1,0,0.000465,2.93E-05,-3.9,-5.4,-4,-5.2,10.1021/acsami.9b03304
1.586,6.64,0.784,8.26,1,0,0,1,0,0,3,2.3,-0.72,0.6,1,0,0.000465,0.000544,-3.3,-5.6,-4.02,-5,10.1039/d0ta04366d
1.654,6.7,0.804,8.91,1,0,0,1,0,0,3,2.3,-0.66,0.6,1,0,0.000465,0.000658,-3.3,-5.6,-3.96,-5,10.1039/d0ta04366d
1.04,22.2,0.737,17,0,1,0,1,0,3,0,1.5,-0.13,0.3,0,1,0.00033,0.0004,-3.9,-5.4,-4.03,-5.1,10.1039/C7TA01764B
1.05,22.4,0.777,18.2,0,1,0,1,0,3,0,1.5,-0.02,0.3,0,1,0.00033,0.00028,-3.9,-5.4,-3.92,-5.1,10.1039/C7TA01764B
1.06,19.59,0.765,15.91,0,1,0,1,0,3,0,1.6,-0.2,0.1,0,1,0.00033,0.00392,-3.8,-5.4,-4,-5.3,10.1002/ange.201604399
0.95,18.28,0.761,13.49,0,1,0,1,0,3,0,1.6,0.17,0.1,0,1,0.00033,0.00145,-3.8,-5.4,-3.63,-5.3,10.1002/ange.201604399
